market,industry_macro_category,split,feature,count,mean_abs_shap,mean_signed_shap,rank_within_group
KOSDAQ,other,test,interest_coverage_ratio,2,0.7240285277366638,-0.7240285277366638,2
KOSDAQ,other,test,total_debt_turnover,1,0.4904539883136749,-0.4904539883136749,3
KOSDAQ,other,test,firm_size_group,1,0.3372573256492615,0.3372573256492615,4
KOSDAQ,other,test,assets_total,3,0.3332751492659251,-0.1270411709944407,5
KOSDAQ,other,test,cash_ratio,1,0.32461410760879517,0.32461410760879517,6
KOSDAQ,other,test,gross_profit,3,0.29524943729241687,0.08128618697325389,7
KOSDAQ,other,test,dividend_payer,3,0.2940112253030141,0.08475179473559062,8
KOSDAQ,other,test,total_borrowings_ratio,2,0.2546811178326607,-0.15430452674627304,9
KOSDAQ,other,test,capital_impairment_ratio,2,0.24093849956989288,-0.24093849956989288,10
KOSDAQ,other,test,cashflow_coverage_ratio,3,0.19028595089912415,-0.1028096576531728,11
KOSDAQ,other,test,depreciation,1,0.17742857336997986,0.17742857336997986,12
KOSDAQ,other,test,operating_roa,1,0.1665761023759842,-0.1665761023759842,13
KOSDAQ,other,test,listed_year,1,0.16388680040836334,0.16388680040836334,14
KOSDAQ,other,test,net_margin_diff,1,0.15965886414051056,-0.15965886414051056,15
KOSDAQ,other,test,ocf_to_sales,1,0.15339557826519012,-0.15339557826519012,16
KOSDAQ,other,test,net_margin,1,0.09982804954051971,-0.09982804954051971,17
KOSDAQ,other,train,industry_macro_category,19,0.9180735882959867,-0.9180735882959867,1
KOSDAQ,other,train,interest_coverage_ratio,19,0.8051070751328218,-0.7371401637792587,2
KOSDAQ,other,train,total_assets_growth,1,0.7009357213973999,0.7009357213973999,3
KOSDAQ,other,train,ocf_to_total_borrowings,3,0.43641671041647595,-0.43641671041647595,4
KOSDAQ,other,train,short_term_borrowings_share,6,0.4142050544420878,-0.4142050544420878,5
KOSDAQ,other,train,equity_ratio,8,0.39257385209202766,-0.279143612831831,6
KOSDAQ,other,train,gross_profit,16,0.38590211793780327,0.22946960106492043,7
KOSDAQ,other,train,net_margin,17,0.35935355547596426,-0.2777601121103062,8
KOSDAQ,other,train,total_borrowings_ratio,11,0.32135769860310986,-0.26148736070502887,9
KOSDAQ,other,train,total_debt_turnover,8,0.3164445273578167,-0.3164445273578167,10
KOSDAQ,other,train,firm_size_group,6,0.31395972271760303,0.31395972271760303,11
KOSDAQ,other,train,accruals_ratio,1,0.3088238835334778,0.3088238835334778,12
KOSDAQ,other,train,debt_ratio,6,0.30200573056936264,-0.30200573056936264,13
KOSDAQ,other,train,dividend_payer,18,0.29232921534114414,-0.01314128769768609,14
KOSDAQ,other,train,assets_total,11,0.29157865047454834,0.0053255558013916016,15
