threshold,precision,recall,f1,true_negative,false_positive,false_negative,true_positive,delta_precision,delta_recall,delta_f1,delta_false_positive,delta_false_negative
0.87,0.9090909090909091,0.23952095808383234,0.3791469194312796,501,4,127,40,0.26909090909090905,-0.6227544910179641,-0.35554695811974085,-77,104
0.875,0.926829268292683,0.2275449101796407,0.36538461538461536,502,3,129,38,0.28682926829268296,-0.6347305389221557,-0.3693092621664051,-78,106
0.88,0.926829268292683,0.2275449101796407,0.36538461538461536,502,3,129,38,0.28682926829268296,-0.6347305389221557,-0.3693092621664051,-78,106
0.885,0.9210526315789473,0.20958083832335328,0.34146341463414637,502,3,132,35,0.28105263157894733,-0.6526946107784432,-0.3932304629168741,-78,109
0.89,0.9444444444444444,0.20359281437125748,0.33497536945812806,503,2,133,34,0.3044444444444444,-0.658682634730539,-0.3997185080928924,-79,110
0.895,0.9411764705882353,0.19161676646706588,0.31840796019900497,503,2,135,32,0.30117647058823527,-0.6706586826347305,-0.4162859173520155,-79,112
0.9,0.9375,0.17964071856287425,0.3015075376884422,503,2,137,30,0.2975,-0.6826347305389222,-0.43318633986257826,-79,114
0.905,0.967741935483871,0.17964071856287425,0.30303030303030304,504,1,137,30,0.327741935483871,-0.6826347305389222,-0.4316635745207174,-80,114
0.91,0.9666666666666667,0.17365269461077845,0.29441624365482233,504,1,138,29,0.32666666666666666,-0.688622754491018,-0.4402776338961981,-80,115
0.915,0.9655172413793104,0.16766467065868262,0.2857142857142857,504,1,139,28,0.3255172413793104,-0.6946107784431138,-0.44897959183673475,-80,116
0.92,0.9629629629629629,0.15568862275449102,0.26804123711340205,504,1,141,26,0.3229629629629629,-0.7065868263473054,-0.4666526404376184,-80,118
0.925,0.9615384615384616,0.1497005988023952,0.25906735751295334,504,1,142,25,0.32153846153846155,-0.7125748502994013,-0.4756265200380671,-80,119
0.93,0.96,0.1437125748502994,0.25,504,1,143,24,0.31999999999999995,-0.718562874251497,-0.48469387755102045,-80,120
0.935,0.9583333333333334,0.1377245508982036,0.24083769633507854,504,1,144,23,0.31833333333333336,-0.7245508982035929,-0.4938561812159419,-80,121
0.94,1.0,0.11976047904191617,0.21390374331550802,505,0,147,20,0.36,-0.7425149700598803,-0.5207901342355125,-81,124
0.945,1.0,0.10778443113772455,0.1945945945945946,505,0,149,18,0.36,-0.7544910179640719,-0.5400992829564258,-81,126
0.95,1.0,0.09580838323353294,0.17486338797814208,505,0,151,16,0.36,-0.7664670658682635,-0.5598304895728784,-81,128
